Dataset root: datasets/SlopeLAS
Splits: ['train', 'val', 'test']
Block size: 20.0
--------------------------------------------------------------------------------
[train] DJI_202507101026_307_云梧-K340-955-995-点云-grass-cutting1_sim_block_00001.npy | N=65536 | density_bbox=176.39 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202507101026_307_云梧-K340-955-995-点云-grass-cutting1_sim_block_00002.npy | N=65536 | density_bbox=243.54 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202507101026_307_云梧-K340-955-995-点云-grass-cutting1_sim_block_00004.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202507101026_307_云梧-K340-955-995-点云-grass-cutting1_sim_block_00005.npy | N=65536 | density_bbox=167.48 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202507101026_307_云梧-K340-955-995-点云-grass-cutting2 - 副本_sim_block_00000.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202507101026_307_云梧-K340-955-995-点云-grass-cutting2 - 副本_sim_block_00002.npy | N=65536 | density_bbox=257.73 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202507101026_307_云梧-K340-955-995-点云-grass-cutting2 - 副本_sim_block_00003.npy | N=65536 | density_bbox=260.26 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202507101026_307_云梧-K340-955-995-点云-grass-cutting2 - 副本_sim_block_00004.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202507101026_307_云梧-K340-955-995-点云-grass-cutting2 - 副本_sim_block_00005.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202507101026_307_云梧-K340-955-995-点云-grass-cutting2 - 副本_sim_block_00006.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202507101026_307_云梧-K340-955-995-点云-grass-cutting2 - 副本_sim_block_00007.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202507101026_307_云梧-K340-955-995-点云-grass-cutting2 - 副本_sim_block_00008.npy | N=65536 | density_bbox=214.87 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202507101026_307_云梧-K340-955-995-点云-grass-cutting2 - 副本_sim_block_00009.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202507101026_307_云梧-K340-955-995-点云-grass-cutting2 - 副本_sim_block_00010.npy | N=65536 | density_bbox=168.57 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202507101026_307_云梧-K340-955-995-点云-grass-cutting2 - 副本_sim_block_00011.npy | N=65536 | density_bbox=168.57 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202507101026_307_云梧-K340-955-995-点云-grass-cutting2 - 副本_sim_block_00012.npy | N=65536 | density_bbox=471.91 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202507101026_307_云梧-K340-955-995-点云-grass-cutting2 - 副本_sim_block_00013.npy | N=65536 | density_bbox=166.43 pts/m^2 | density_block=163.84 pts/m^2
[train] DJI_202507101026_307_云梧-K340-955-995-点云-grass-cutting2 - 副本_sim_block_00015.npy | N=65536 | density_bbox=202.28 pts/m^2 | density_block=163.84 pts/m^2
